Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN		Entry	All_Pathways	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
A1AT1_MOUSE	Alpha-1-antitrypsin 1-1 OS=Mus musculus GN=Serpina1a PE=1 SV=4	46 kDa	< 0.00010	7.0259	7.7407	8.0802	8.7565	13.991	9.1189	2.3388	3.7476	1.2091	3.3095	2.6513	12.403	15.894	13.774	16.237	14.577	2.3897	2.9984	5.3523	3.5801		P07758	Blood_Coagulation		Blood_Coagulation												
ARPC4_MOUSE	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3	20 kDa	< 0.00010	0.8782	0.8601	0	2.1891	3.2286	1.4312	0	0	0	0	0	5.6378	3.7398	6.3573	5.4124	5.2868	1.5931	2.9984	2.1409	2.2441		P59999	"Chemokine_Cytokine_Signaling, Cytoskeleton"			Chemokine_Cytokine_Signaling	Cytoskeleton										
CO1A1_MOUSE	Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4	138 kDa	< 0.00010	7.0259	0	0	0	0	1.4052	81.859	137.41	97.938	43.023	90.0575	0	0	0	0	0	0	0	0	0		P11087	Integrin										Integrin				
CO1A2_MOUSE	Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=2 SV=2	130 kDa	< 0.00010	2.6347	0	0	0	0	0.5269	18.711	34.978	29.019	14.341	24.2623	0	0	0	0	0	0	0	0	0		Q01149	Integrin										Integrin				
DPYL3_MOUSE	Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1	62 kDa	< 0.00010	3.513	3.4403	1.7956	1.0946	0	1.9687	0	0	0	0	0	12.403	7.4795	6.3573	8.6599	8.7249	3.9828	6.9962	6.4227	5.8006		Q62188															
MYOZ2_MOUSE	Myozenin-2 OS=Mus musculus GN=Myoz2 PE=1 SV=1	30 kDa	< 0.00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3897	0.9995	2.1409	1.8434		Q9JJW5															
NB5R3_MOUSE	NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3	34 kDa	< 0.00010	1.7565	2.5802	0.8978	2.1891	1.0762	1.7	0	0	0	1.1032	0.2758	0	0	0	1.0825	0.2706	5.576	5.9968	3.2114	4.9281		Q9DCN2															
NDUA4_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2	9 kDa	< 0.00010	0.8782	1.7202	1.7956	2.1891	2.1524	1.7471	4.6776	3.7476	3.6273	3.3095	3.8405	0	0.9349	1.0595	0	0.4986	1.5931	0	0	0.531		Q62425															
RET1_MOUSE	Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2	16 kDa	< 0.00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3897	1.9989	1.0705	1.8197		Q00915															
ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2	37 kDa	< 0.00010	7.0259	4.3004	8.0802	6.5674	6.4573	6.4862	2.3388	1.2492	0	3.3095	1.7244	2.2551	0.9349	0	2.165	1.3388	7.1691	7.9957	7.4932	7.5527		O88569															
SPA3K_MOUSE	Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2	47 kDa	< 0.00010	0.8782	3.4403	1.7956	2.1891	3.2286	2.3064	9.3553	7.4952	1.2091	0	4.5149	14.658	31.788	27.548	21.65	23.911	3.1863	2.9984	6.4227	4.2025		P07759															
TPM1_MOUSE	Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1 SV=1	33 kDa	0.0001	86.068	82.568	87.985	105.08	90.402	90.4206	65.487	58.713	62.874	71.705	64.6948	73.292	54.226	86.883	62.784	69.2963	105.94	131.93	148.79	128.8867		P58771															
CX7A1_MOUSE	"Cytochrome c oxidase subunit 7A1, mitochondrial OS=Mus musculus GN=Cox7a1 PE=2 SV=1"	9 kDa	0.0002	0.8782	2.5802	0.8978	2.1891	1.0762	1.5243	5.847	4.9968	6.0456	3.3095	5.0497	1.1276	1.8699	0	0	0.7494	0	1.9989	1.0705	1.0231		P56392															
CNN1_MOUSE	Calponin-1 OS=Mus musculus GN=Cnn1 PE=2 SV=1	33 kDa	0.0002	15.808	11.181	8.0802	12.04	6.4573	10.7133	5.847	1.2492	0	3.3095	2.6014	23.679	13.089	9.5359	23.815	17.5297	22.304	26.985	25.691	24.9933		Q08091															
RB11B_MOUSE	Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3	24 kDa	0.0002	1.7565	2.5802	1.7956	2.1891	2.1524	2.0948	0	0	0	0	0	3.3827	0.9349	2.1191	2.165	2.1504	2.3897	1.9989	2.1409	2.1765		P46638															
ODO2_MOUSE	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1"	49 kDa	0.0002	6.1477	6.8806	6.2846	4.3783	4.3049	5.5992	3.5082	2.4984	2.4182	3.3095	2.9336	6.7654	11.219	12.715	10.825	10.3811	7.9657	4.9973	6.4227	6.4619		Q9D2G2															
A1AT2_MOUSE	Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2	46 kDa	0.0002	7.0259	10.321	12.569	9.8511	15.067	10.9668	2.3388	3.7476	0	2.2063	2.0732	10.148	16.829	12.715	12.99	13.1705	3.1863	3.9978	8.5636	5.2492		P22599	Blood_Coagulation		Blood_Coagulation												
SODM_MOUSE	"Superoxide dismutase [Mn], mitochondrial OS=Mus musculus GN=Sod2 PE=1 SV=3"	25 kDa	0.0003	0.8782	0.8601	4.489	3.2837	3.2286	2.5479	0	0	0	0	0	4.5102	3.7398	5.2977	4.3299	4.4694	3.9828	4.9973	3.2114	4.0638		P09671															
RS25_MOUSE	40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=2 SV=1	14 kDa	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	0.7966	0.9995	1.0705	0.9555		P62852															
K22E_MOUSE	"Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus GN=Krt2 PE=1 SV=1"	71 kDa	0.0004	14.93	23.222	24.241	18.608	9.6859	18.1374	17.541	7.4952	13.3	17.651	13.9968	1.1276	2.8048	6.3573	0	2.5724	3.1863	0.9995	1.0705	1.7521		Q3TTY5															
ARF1_MOUSE	ADP-ribosylation factor 1 OS=Mus musculus GN=Arf1 PE=1 SV=2	21 kDa	0.0004	1.7565	1.7202	1.7956	1.0946	3.2286	1.9191	0	0	1.2091	0	0.3023	3.3827	3.7398	3.1786	3.2475	3.3872	3.9828	1.9989	2.1409	2.7075		P84078	"Huntington, Integrin"									Huntington	Integrin				
QCR1_MOUSE	"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus GN=Uqcrc1 PE=1 SV=2"	53 kDa	0.0004	17.565	17.202	15.263	12.04	10.762	14.5664	8.1859	8.7444	7.2547	7.7221	7.9768	6.7654	8.4144	7.4168	5.4124	7.0023	11.948	11.994	16.057	13.333		Q9CZ13															
VDAC3_MOUSE	Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1	31 kDa	0.0004	11.417	15.481	13.467	14.229	11.838	13.2864	0	0	0	9.9284	2.4821	14.658	15.894	13.774	12.99	14.329	15.931	9.9946	10.705	12.2102		Q60931															
