Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
1433B_MOUSE	14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3	28 kDa	0.53			9.5714	6.0587	6.5785	5.8235	14.579	8.5222	4.9142	6.0587	6.5785	14.02	7.8929	0	9.3226	0	12.245	5.3919	6.5194	12.778	12.483	10.5935	28 kDa	0.14		7.0259	6.0206	6.2846	6.5674	0	5.1797	0	0	0	0	0	7.8929	6.5446	0	0	3.6094	0	8.9951	7.4932	5.4961	Q9CQV8	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhab
1433E_MOUSE	14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1	29 kDa	0.54			12.443	8.6552	9.8677	9.3175	14.579	10.9725	6.8798	8.6552	9.8677	10.515	8.9794	7.5804	10.255	7.071	12.245	9.2879	7.3343	11.98	13.375	10.8964	29 kDa	0.0011		7.9042	5.1605	7.1824	6.5674	7.5335	6.8696	0	4.9968	2.4182	5.5158	3.2327	12.403	7.4795	8.4764	8.6599	9.2547	9.5588	10.994	9.6341	10.0623	P62259	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhae
1433F_MOUSE	14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2	28 kDa	0.61			6.7	6.9242	6.5785	5.8235	12.336	7.6724	0	6.9242	6.5785	11.684	6.2967	0	8.3903	0	12.245	5.1588	5.7044	10.382	12.483	9.5231	28 kDa	0.041		7.0259	4.3004	5.3868	0	0	3.3426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P68510	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhah
1433G_MOUSE	14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2	28 kDa	0.73			8.6143	6.9242	7.6749	8.1528	14.579	9.189	4.9142	6.9242	7.6749	12.852	8.0913	6.6328	9.3226	6.0608	12.245	8.5653	5.7044	11.98	15.158	10.9475	28 kDa	0.005		7.9042	6.8806	8.0802	6.5674	6.4573	7.1779	0	0	0	4.4126	1.1032	9.0205	6.5446	6.3573	0	5.4806	7.1691	8.9951	8.5636	8.2426	P61982	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhag
1433T_MOUSE	14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1	28 kDa	0.51			9.5714	12.117	9.8677	8.1528	14.579	10.8576	5.897	12.117	9.8677	19.862	11.9359	5.6853	8.3903	5.0507	12.245	7.8428	6.5194	14.376	14.266	11.7205	28 kDa	0.04		7.9042	5.1605	7.1824	8.7565	4.3049	6.6617	0	4.9968	0	5.5158	2.6282	9.0205	5.6096	5.2977	6.4949	6.6057	5.576	7.9957	7.4932	7.0216	P68254	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhaq
1433Z_MOUSE	14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1	28 kDa	0.63			15.314	15.579	17.543	12.812	22.43	16.7356	12.777	15.579	17.543	24.535	17.6085	12.318	14.916	11.112	24.49	15.709	16.298	23.161	21.4	20.2863	28 kDa	0.0005		14.052	12.901	11.671	10.946	8.6097	11.6359	0	4.9968	1.2091	8.8253	3.7578	13.531	11.219	11.655	12.99	12.3488	13.542	16.991	12.845	14.4593	P63101	EGF, FGF, Parkinson	EGF						EGF	FGF					Parkinson			Ywhaz
A1AT2_MOUSE	Alpha-1-antitrypsin 1-2 OS=Mus musculus GN=Serpina1b PE=1 SV=2	46 kDa	0.02	ECM		10.529	7.7897	16.446	18.635	6.7289	12.0257	6.8798	7.7897	16.446	17.525	12.1601	13.266	10.255	17.172	15.918	14.1528	2.4448	2.3959	1.7833	2.208	46 kDa	0.0002		7.0259	10.321	12.569	9.8511	15.067	10.9668	2.3388	3.7476	0	2.2063	2.0732	10.148	16.829	12.715	12.99	13.1705	3.1863	3.9978	8.5636	5.2492	P22599	Blood_Coagulation	Blood_Coagulation		Blood_Coagulation													Serpina1b Aat2 Dom2 Spi1-2
A1AT4_MOUSE	Alpha-1-antitrypsin 1-4 OS=Mus musculus GN=Serpina1d PE=2 SV=1	46 kDa	0.012	ECM		14.357	10.386	20.832	22.129	10.093	15.5594	8.8455	10.386	20.832	18.694	14.6894	12.318	10.255	17.172	15.918	13.9158	3.2597	2.3959	1.7833	2.4796	46 kDa	0.0063		7.9042	11.181	15.263	13.135	22.6	14.0166	2.3388	8.7444	1.2091	4.4126	4.1762	11.276	16.829	11.655	12.99	13.1875	3.1863	3.9978	8.5636	5.2492	Q00897	Blood_Coagulation	Blood_Coagulation		Blood_Coagulation													Serpina1d Dom4 Spi1-4
A1AT5_MOUSE	Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1	46 kDa	0.2	ECM		0	0	0	0	0	0	3.9313	0	0	11.684	3.9038	1.8951	0	0	0	0.4738	0	0	0	0	46 kDa	0.02		0	0	0.8978	0	0	0.1796	3.5082	1.2492	2.4182	0	1.7939	0	0	0	0	0	0	0	0	0	Q00898	Blood_Coagulation	Blood_Coagulation		Blood_Coagulation													Serpina1e Dom5 Spi1-5
AATM_MOUSE	Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1	47 kDa	0.18			5.7428	2.5966	5.4821	2.3294	7.8504	4.8003	0	2.5966	5.4821	0	2.0197	4.7377	2.7968	2.0203	0	2.3887	5.7044	3.9932	4.4582	4.7186	47 kDa	0.065		15.808	23.222	23.343	12.04	17.219	18.3264	16.372	3.7476	7.2547	16.547	10.9803	19.169	14.959	15.893	8.6599	14.6702	18.321	21.988	25.691	22	P05202																	
