Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
RAB1B_MOUSE	Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1	22 kDa	< 0.00010	Q9D1G1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2597	3.9932	3.5666	3.6065																	
RAB2A_MOUSE	Ras-related protein Rab-2A OS=Mus musculus GN=Rab2a PE=1 SV=1	24 kDa	< 0.00010	P53994		0	0	1.0964	0	1.1215	0.4436	0	0	1.0964	0	0.2741	1.8951	2.7968	3.0304	2.449	2.5428	1.6298	1.5973	1.7833	1.6701																	
SPA3K_MOUSE	Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2	47 kDa	0.0002	P07759		3.8286	0	4.3856	3.4941	0	2.3417	5.897	0	4.3856	17.525	6.9519	18.003	26.103	19.193	18.367	20.4165	0.8149	1.5973	0.8917	1.1013																	
LUM_MOUSE	Lumican OS=Mus musculus GN=Lum PE=1 SV=2	38 kDa	0.0006	P51885		20.1	20.773	25.217	20.964	16.822	20.7752	27.519	20.773	25.217	26.872	25.0953	29.374	28.9	26.264	30.612	28.7875	15.483	16.772	20.508	17.5877																	
ADT1_MOUSE	ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4	33 kDa	0.0007	P48962		13.4	13.848	9.8677	8.1528	12.336	11.5209	8.8455	13.848	9.8677	11.684	11.0613	3.7902	6.5258	3.0304	8.5714	5.4795	13.854	18.369	16.05	16.091																	
GSTP1_MOUSE	Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2	24 kDa	0.0007	P19157		0.9571	4.3276	3.2892	5.8235	5.6074	4.001	0.9828	4.3276	3.2892	2.3367	2.7341	8.5279	6.5258	10.101	12.245	9.3499	7.3343	8.7851	8.0248	8.0481																	
AEBP1_MOUSE	Adipocyte enhancer-binding protein 1 OS=Mus musculus GN=Aebp1 PE=1 SV=1	128 kDa	0.001	Q640N1		2.8714	0.8655	0	2.3294	1.1215	1.4376	0	0.8655	0	0	0.2164	0.9476	0	0	0	0.2369	2.4448	4.7919	3.5666	3.6011																	
VDAC2_MOUSE	Voltage-dependent anion-selective channel protein 2 OS=Mus musculus GN=Vdac2 PE=1 SV=2	32 kDa	0.0012	Q60930		5.7428	5.1931	6.5785	3.4941	6.7289	5.5475	1.9657	5.1931	6.5785	2.3367	4.0185	0.9476	0	0	0	0.2369	4.8895	3.9932	2.6749	3.8525																	
DPYL3_MOUSE	Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1	62 kDa	0.0013	Q62188		8.6143	15.579	10.964	12.812	5.6074	10.7153	10.811	15.579	10.964	19.862	14.304	26.531	26.103	18.183	23.265	23.5205	13.039	12.778	10.7	12.1723																	
TPIS_MOUSE	Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4	32 kDa	0.0013	P17751		2.8714	2.5966	2.1928	0	1.1215	1.7565	2.9485	2.5966	2.1928	3.5051	2.8108	2.8426	4.6613	7.071	7.3469	5.4805	6.5194	5.5905	6.2415	6.1171		Glycolysis									Glycolysis						
CAZA2_MOUSE	F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3	33 kDa	0.0014	P47754		1.9143	2.5966	2.1928	2.3294	2.243	2.2552	0.9828	2.5966	2.1928	1.1684	1.7352	0.9476	1.8645	0	1.2245	1.0091	4.8895	4.7919	2.6749	4.1188																	
